,cusip no,issuer name,price,shares,currency,market valuation,price USD
601,20369C 10 6,COMMUNITY COM,54.13,14476,USD,783585.88,54.13
602,204149 10 8,COMMUNITY COM,305.31,2994,EUR,914098.14,335.76
603,204166 10 2,COMMVAULT COM,284.28,11379,EUR,3234822.1199999996,312.63
604,20451N 10 1,COMPASS MINERALS INTL INC COM,265.2,4049,USD,1073794.8,265.2
605,20454B 10 4,COMPASS THERAPEUTICS INC COM,35.26,9406,USD,331655.56,35.26
606,205306 10 3,COMPUTER COM,250.52,13745,EUR,3443397.4000000004,275.5
607,205477 10 2,COMPUTER COM,164.88,10604,USD,1748387.52,164.88
608,20564W 10 5,COMSCORE INC COM,54.07,7534,EUR,407363.38,59.46
609,205768 30 2,COMSTOCK RES INC COM,18.07,9564,USD,172821.48,18.07
610,205887 10 2,CONAGRA BRANDS INC COM,32.31,13942,USD,450466.02,32.31
611,20602D 10 1,CONCENTRIX CORP COM,132.18,8178,EUR,1080968.04,145.36
612,206022 10 5,CONCERT PHARMACEUTICALS INC COM,321.67,9803,EUR,3153331.0100000002,353.75
613,206704 10 8,CONCRETE PUMPING HLDGS INC COM,312.95,6937,USD,2170934.15,312.95
614,206787 10 3,CONDUENT INC COM,268.33,3494,USD,937545.0199999999,268.33
615,20731J 10 2,CONIFER COM,13.39,5155,USD,69025.45,13.39
616,207410 10 1,CONMED COM,148.11,2226,EUR,329692.86000000004,162.88
617,20786W 10 7,CONNECTONE BANCORP INC COM,17.78,4451,USD,79138.78,17.78
618,208242 10 7,CONNS INC COM,251.85,8189,EUR,2062399.65,276.97
619,20825C 10 4,CONOCOPHILLIPS COM,7.77,9673,USD,75159.20999999999,7.77
620,20848V 10 5,CONSENSUS CLOUD SOLUTIONS IN COM,123.74,8827,USD,1092252.98,123.74
621,20854L 10 8,CONSOL ENERGY INC NEW COM,115.5,6653,USD,768421.5,115.5
622,209034 10 7,CONSOLIDATED COMM HLDGS INC COM,120.09,10381,USD,1246654.29,120.09
623,209115 10 4,CONSOLIDATED EDISON INC COM,335.97,13751,USD,4619923.470000001,335.97
624,21037T 10 9,CONSTELLATION ENERGY CORP COM,48.41,9830,EUR,475870.3,53.24
625,210502 10 0,CONSUMER PORTFOLIO SVCS INC COM,109.24,7832,USD,855567.6799999999,109.24
626,210751 10 3,CONTAINER STORE GROUP INC COM,299.74,5911,USD,1771763.1400000001,299.74
627,21077F 10 0,CONTANGO ORE COM,30.6,13239,EUR,405113.4,33.65
628,21077P 10 8,CONTEXT THERAPEUTICS INC COM,244.6,10123,EUR,2476085.8,268.99
629,21676P 10 3,COOPER STD HLDGS INC COM,341.63,608,EUR,207711.04,375.7
630,217204 10 6,COPART INC COM,11.83,7521,USD,88973.43000000001,11.83
631,21833P 10 3,CORBUS PHARMACEUTICALS HLDGS COM,317.15,13369,EUR,4239978.35,348.78
632,218352 10 2,CORCEPT THERAPEUTICS INC COM,339.35,11996,USD,4070842.6,339.35
633,218683 10 0,CORE MOLDING TECHNOLOGIES IN COM,300.17,14846,USD,4456323.82,300.17
634,21871N 10 1,CORECIVIC INC COM,161.68,7940,EUR,1283739.2,177.8
635,21871X 10 9,COREBRIDGE FINL INC COM,249.23,350,EUR,87230.5,274.09
636,21900C 30 8,CORMEDIX INC COM,91.06,1103,USD,100439.18000000001,91.06
637,22266L 10 6,COUPA SOFTWARE COM,110.08,4669,EUR,513963.52,121.06
638,22266M 10 4,COURSERA INC COM,232.05,7838,EUR,1818807.9000000001,255.19
639,22410J 10 6,CRACKER BARREL OLD CTRY COM,243.01,775,USD,188332.75,243.01
640,224441 10 5,CRANE HLDGS CO COM,222.69,1913,USD,426005.97,222.69
641,224916 10 6,CREDIT SUISSE ASSET MGMT INC COM,326.49,10973,USD,3582574.77,326.49
642,22530J 30 9,CREATIVE REALITIES INC COM,181.57,7201,USD,1307485.57,181.57
643,225310 10 1,CREDIT ACCEP CORP MICH COM,311.13,1654,USD,514609.02,311.13
644,225655 10 9,CRESCENT COM,128.03,2189,EUR,280257.67,140.8
645,22576C 10 1,CRESCENT COM,112.63,4369,EUR,492080.47,123.86
646,226552 10 7,CREXENDO INC COM,317.92,5837,USD,1855699.04,317.92
647,22663K 10 7,CRINETICS PHARMACEUTICALS COM,205.52,7492,EUR,1539755.84,226.02
648,227046 10 9,CROCS COM,120.81,9398,USD,1135372.3800000001,120.81
649,22717L 10 1,CRONOS COM,95.31,9114,USD,868655.34,95.31
650,227483 10 4,CROSS COM,273.1,4993,USD,1363588.3,273.1
651,22766M 10 9,CROSSFIRST BANKSHARES COM,169.28,2025,EUR,342792.0,186.16
652,229794 30 0,CUENTAS INC COM,210.84,4669,USD,984411.96,210.84
653,229899 10 9,CULLEN FROST BANKERS INC COM,38.72,13210,USD,511491.2,38.72
654,230031 10 6,CULLINAN ONCOLOGY INC COM,331.56,8070,EUR,2675689.2,364.63
655,230215 10 5,CULP INC COM,256.44,9391,EUR,2408228.04,282.01
656,230770 10 9,CUMBERLAND PHARMACEUTICALS COM,273.93,6164,EUR,1688504.52,301.25
657,231021 10 6,CUMMINS INC COM,88.37,11159,USD,986120.8300000001,88.37
658,23131L 10 7,CURO GROUP HOLDINGS CORP COM,209.59,11537,EUR,2418039.83,230.49
659,231561 10 1,CURTISS WRIGHT CORP COM,12.05,2262,USD,27257.100000000002,12.05
660,23204G 10 0,CUSTOMERS BANCORP COM,34.38,5025,EUR,172759.5,37.81
661,232109 10 8,CUTERA INC COM,225.02,14111,EUR,3175257.22,247.46
662,23254L 60 3,CYCLACEL P COM,320.6,13861,USD,4443836.600000001,320.6
663,23255M 10 5,CYCLERION COM,146.19,6309,USD,922312.71,146.19
664,23256X 10 0,CYBIN COM,322.89,1118,EUR,360991.01999999996,355.09
665,23257B 10 7,CYNGN COM,265.79,932,USD,247716.28000000003,265.79
666,23257D 10 3,CYMABAY THERAPEUTICS COM,272.56,6965,USD,1898380.4,272.56
667,23284F 10 5,CYTOMX THERAPEUTICS INC COM,188.59,5161,EUR,973312.99,207.4
668,23284P 10 3,CYTEIR THERAPEUTICS INC COM,269.99,6734,USD,1818112.6600000001,269.99
669,23285D 10 9,CYTEK BIOSCIENCES INC COM,273.23,434,USD,118581.82,273.23
670,23291C 10 3,DMC GLOBAL INC COM,306.03,1711,USD,523617.32999999996,306.03
671,23325P 10 4,DNP COM,156.63,11860,EUR,1857631.8,172.25
672,23342Q 10 1,DWS STRATEGIC MUN INCOME COM,37.52,629,USD,23600.08,37.52
673,23345J 10 4,DICE THERAPEUTICS INC COM,211.74,9098,EUR,1926410.52,232.86
674,23355L 10 6,DXC TECHNOLOGY CO COM,267.91,3699,EUR,990999.0900000001,294.63
675,23816M 10 7,DATCHAT INC COM,9.47,8269,USD,78307.43000000001,9.47
676,238337 10 9,DAVE & BUSTERS ENTMT INC COM,26.97,771,EUR,20793.87,29.66
677,238661 10 2,DAVIDSTEA INC COM,280.87,6396,USD,1796444.52,280.87
678,23918K 10 8,DAVITA INC COM,324.71,10308,EUR,3347110.6799999997,357.09
679,239360 10 0,DAWSON GEOPHYSICAL CO NEW COM,342.94,1720,USD,589856.8,342.94
680,23954D 10 9,DAY ONE BIOPHARMACEUTICALS I COM,110.82,13371,EUR,1481774.22,121.87
681,24343R 10 6,DECIBEL THERAPEUTICS INC COM,338.62,3037,USD,1028388.9400000001,338.62
682,24344T 10 1,DECIPHERA PHARMACEUTICALS IN COM,12.9,14437,USD,186237.30000000002,12.9
683,24345A 50 7,DECISIONPOINT SYS INC NEW COM,253.32,7761,USD,1966016.52,253.32
684,243537 10 7,DECKERS OUTDOOR CORP COM,113.42,10081,USD,1143387.02,113.42
685,244199 10 5,DEERE & CO COM,293.63,155,USD,45512.65,293.63
686,245915 10 3,DELAWARE INVTS DIVID & INCOM COM,141.93,2639,USD,374553.27,141.93
687,246060 10 7,DELAWARE ENHANCED GLOBAL DIV COM,330.34,12069,EUR,3986873.4599999995,363.28
688,246107 10 6,DELAWARE IVY HIGH INCOME OPP COM,24.58,7633,USD,187619.13999999998,24.58
689,24665A 10 3,DELEK US HLDGS COM,284.2,1713,USD,486834.6,284.2
690,25056L 10 3,DESIGN THERAPEUTICS COM,190.77,14591,EUR,2783525.0700000003,209.8
691,25065K 10 4,DESTINATION XL GROUP INC COM,301.21,10761,EUR,3241320.8099999996,331.25
692,25179M 10 3,DEVON ENERGY CORP NEW COM,237.43,1768,EUR,419776.24,261.11
693,252131 10 7,DEXCOM INC COM,242.86,455,EUR,110501.3,267.08
694,25271C 20 1,DIAMOND OFFSHORE DRILLING IN COM,37.72,4402,EUR,166043.44,41.48
695,25278X 10 9,DIAMONDBACK ENERGY INC COM,217.83,11610,USD,2529006.3000000003,217.83
696,252784 30 1,DIAMONDROCK HOSPITALITY CO COM,215.08,13419,EUR,2886158.52,236.53
697,253393 10 2,DICKS SPORTING GOODS INC COM,234.44,2635,USD,617749.4,234.44
698,253798 10 2,DIGI INTL INC COM,187.12,9983,USD,1868018.96,187.12
699,25381B 10 1,DIGIMARC CORP NEW COM,286.58,11083,EUR,3176166.1399999997,315.16
700,25382T 10 1,DIGITAL COM,184.46,6336,USD,1168738.56,184.46
701,253868 10 3,DIGITAL COM,58.65,1762,USD,103341.3,58.65
702,25402D 10 2,DIGITALOCEAN HLDGS INC COM,343.87,5155,USD,1772649.85,343.87
703,25432X 10 2,DIME CMNTY BANCSHARES INC COM,219.82,10653,USD,2341742.46,219.82
704,254604 10 1,DISC MEDICINE COM,262.86,11142,EUR,2928786.12,289.07
705,254687 10 6,DISNEY WALT CO COM,323.65,8953,EUR,2897638.4499999997,355.93
706,254709 10 8,DISCOVER FINL SVCS COM,304.42,4801,USD,1461520.4200000002,304.42
707,25490H 10 6,DIRTT ENVIRONMENTAL SOLUTION COM,123.81,1777,EUR,220010.37,136.16
708,25754A 20 1,DOMINOS PIZZA INC COM,20.99,8894,EUR,186685.06,23.08
709,257651 10 9,DONALDSON INC COM,244.43,5520,EUR,1349253.6,268.81
710,25787G 10 0,DONNELLEY FINL SOLUTIONS COM,291.31,10609,EUR,3090507.79,320.36
711,258278 10 0,DORMAN PRODS INC COM,289.32,8466,EUR,2449383.12,318.17
712,25862V 10 5,DOUBLEVERIFY COM,20.57,8846,USD,181962.22,20.57
713,258623 10 7,DOUBLELINE OPPORTUNISTIC CR COM,24.98,9246,EUR,230965.08000000002,27.47
714,25960P 10 9,DOUGLAS EMMETT INC COM,146.94,9166,EUR,1346852.04,161.59
715,25960R 10 5,DOUGLAS DYNAMICS INC COM,233.03,8494,EUR,1979356.82,256.27
716,25961D 10 5,DOUGLAS ELLIMAN INC COM,298.88,1045,EUR,312329.6,328.69
717,260003 10 8,DOVER CORP COM,61.22,14574,USD,892220.28,61.22
718,260557 10 3,DOW INC COM,217.52,2104,USD,457662.08,217.52
719,26145B 10 6,DRAGONFLY ENERGY HOLDINGS CO COM,153.57,7892,EUR,1211974.44,168.89
720,262037 10 4,DRIL-QUIP INC COM,150.66,3024,USD,455595.83999999997,150.66
721,262077 10 0,DRIVE SHACK INC COM,64.36,13547,USD,871884.92,64.36
722,26210V 10 2,DRIVEN BRANDS HLDGS COM,162.18,6456,USD,1047034.0800000001,162.18
723,26414D 10 6,DUCKHORN PORTFOLIO INC COM,93.22,7473,EUR,696633.0599999999,102.52
724,264147 10 9,DUCOMMUN INC DEL COM,137.57,6825,USD,938915.25,137.57
725,26433C 10 5,DUFF COM,39.45,14539,EUR,573563.55,43.38
726,26969P 10 8,EAGLE MATLS INC COM,303.54,3932,USD,1193519.28,303.54
727,269796 10 8,EAGLE PHARMACEUTICALS INC COM,323.57,5152,EUR,1667032.64,355.84
728,269808 10 1,EAGLE POINT CREDIT COMPANY COM,98.76,550,EUR,54318.0,108.61
729,269817 10 2,EAGLE POINT INCOME COMPANY COM,142.36,13007,USD,1851676.5200000003,142.36
730,270087 10 9,EARGO INC COM,158.89,7431,EUR,1180711.5899999999,174.74
731,27579R 10 4,EAST WEST BANCORP INC COM,75.17,10998,USD,826719.66,75.17
732,27616P 10 3,EASTERLY GOVT PPTYS INC COM,126.7,14358,USD,1819158.6,126.7
733,27627N 10 5,EASTERN BANKSHARES INC COM,151.95,10010,USD,1521019.5,151.95
734,276317 10 4,EASTERN CO COM,250.41,4781,USD,1197210.21,250.41
735,277276 10 1,EASTGROUP PPTYS INC COM,297.16,4838,USD,1437660.08,297.16
736,277432 10 0,EASTMAN CHEM CO COM,260.15,10581,EUR,2752647.15,286.09
737,277802 30 2,EASTSIDE DISTILLING INC COM,170.98,12154,USD,2078090.92,170.98
738,27827X 10 1,EATON VANCE MUN BD FD COM,199.67,6084,USD,1214792.28,199.67
739,27827Y 10 9,,259.3,8139,EUR,2110442.7,285.16
740,278274 10 5,,241.95,8514,EUR,2059962.2999999998,266.08
741,278277 10 8,,320.25,2649,USD,848342.25,320.25
742,278279 10 4,,329.57,9953,EUR,3280210.21,362.44
743,27828A 10 0,,144.48,4608,USD,665763.84,144.48
744,27828G 10 7,,202.8,14667,USD,2974467.6,202.8
745,27828H 10 5,,257.49,14603,EUR,3760126.47,283.17
746,27828N 10 2,,218.52,2392,EUR,522699.84,240.31
747,27828Q 10 5,,174.76,11205,EUR,1958185.7999999998,192.19
748,27828S 10 1,,130.42,733,EUR,95597.85999999999,143.43
749,27828U 10 6,,318.61,3880,USD,1236206.8,318.61
750,27828V 10 4,,55.22,9544,USD,527019.6799999999,55.22
751,27828X 10 0,,262.73,2118,USD,556462.14,262.73
752,27828Y 10 8,,50.79,1882,USD,95586.78,50.79
753,27829C 10 5,,303.52,7498,USD,2275792.96,303.52
754,27829F 10 8,,26.69,6308,EUR,168360.52000000002,29.35
755,27829G 10 6,,111.14,5772,EUR,641500.08,122.22
756,27829L 10 5,,83.49,14193,EUR,1184973.5699999998,91.82
757,28059P 10 5,EDIBLE GARDEN AG INC COM,325.94,5873,EUR,1914245.6199999999,358.45
758,281020 10 7,EDISON INTL COM,102.42,8770,EUR,898223.4,112.63
759,28106W 10 3,EDITAS MEDICINE INC COM,257.59,11412,USD,2939617.0799999996,257.59
760,28176E 10 8,EDWARDS LIFESCIENCES CORP COM,11.75,1381,EUR,16226.75,12.92
761,28201D 10 9,EF HUTTON ACQUISITION CORP I COM,287.62,1691,USD,486365.42,287.62
762,28202V 10 8,EFFECTOR THERAPEUTICS INC COM,94.26,4626,EUR,436046.76,103.66
763,28238P 10 9,EHEALTH INC COM,191.0,7656,USD,1462296.0,191.0
764,28249U 10 5,EIGER BIOPHARMACEUTICALS INC COM,169.1,2298,USD,388591.8,169.1
765,28252C 10 9,POLISHED COM,330.36,7724,EUR,2551700.64,363.31
766,,,121.5,3145,EUR,382117.5,133.62
767,282559 10 3,89BIO INC COM,237.23,7524,USD,1784918.52,237.23
768,282644 30 1,EKSO BIONICS HLDGS COM,147.03,6741,USD,991129.23,147.03
769,282914 10 0,8X8 INC NEW COM,46.14,6562,USD,302770.68,46.14
770,28414H 10 3,ELANCO COM,225.93,8757,EUR,1978469.01,248.46
771,284902 50 9,ELDORADO GOLD CORP NEW COM,219.73,7491,EUR,1645997.43,241.64
772,285233 10 2,ELECTRO-SENSORS INC COM,96.38,11490,USD,1107406.2,96.38
773,285409 10 8,ELECTROMED INC COM,23.9,11627,EUR,277885.3,26.28
774,285512 10 9,ELECTRONIC ARTS INC COM,210.61,13466,USD,2836074.2600000002,210.61
775,28617K 10 1,ELEDON PHARMACEUTICALS INC COM,34.0,3438,USD,116892.0,34.0
776,28618M 10 6,ELEMENT SOLUTIONS INC COM,70.66,7313,USD,516736.57999999996,70.66
777,28621V 10 1,ELEVATE CREDIT INC COM,227.57,11036,USD,2511462.52,227.57
778,28623U 10 1,ELEVATION ONCOLOGY INC COM,331.28,9874,EUR,3271058.7199999997,364.32
779,28658R 10 6,ELIEM THERAPEUTICS INC COM,194.24,13425,EUR,2607672.0,213.61
780,28852N 10 9,ELLINGTON FINANCIAL INC COM,130.79,13689,USD,1790384.3099999998,130.79
781,289074 10 6,ELLSWORTH GROWTH & INCOME COM,138.76,1424,EUR,197594.24,152.6
782,290734 10 2,ELYS GAME TECHNOLOGY CORP COM,52.17,14789,EUR,771542.13,57.37
783,290828 10 2,EMCLAIRE FINL CORP COM,79.88,4962,USD,396364.56,79.88
784,29084Q 10 0,EMCOR GROUP INC COM,169.82,13409,USD,2277116.38,169.82
785,29089Q 10 5,EMERGENT BIOSOLUTIONS INC COM,160.44,8834,EUR,1417326.96,176.44
786,291011 10 4,EMERSON ELEC CO COM,238.54,13590,EUR,3241758.6,262.33
787,29261A 10 0,ENCOMPASS HEALTH CORP COM,110.32,5259,EUR,580172.88,121.32
788,29268T 40 9,ENERGY FOCUS INC COM,65.32,1426,USD,93146.31999999999,65.32
789,29269R 10 5,ENERFLEX LTD COM,238.46,4288,EUR,1022516.48,262.24
790,29270J 10 0,ENERGY RECOVERY INC COM,136.56,7855,USD,1072678.8,136.56
791,29271Q 10 3,ENERGY SVCS ACQUISITION CORP COM,84.63,3098,USD,262183.74,84.63
792,29272C 10 3,ENERGOUS CORP COM,287.91,7204,USD,2074103.6400000001,287.91
793,29272W 10 9,ENERGIZER HLDGS INC NEW COM,42.58,8211,EUR,349624.38,46.83
794,293602 40 5,ENSYSCE BIOSCIENCES INC COM,95.35,1407,EUR,134157.44999999998,104.86
795,29362U 10 4,ENTEGRIS INC COM,245.49,11891,USD,2919121.5900000003,245.49
796,29364G 10 3,ENTERGY CORP NEW COM,59.73,3546,USD,211802.58,59.73
797,293668 10 9,ENTERPRISE BANCORP INC MASS COM,232.46,13177,USD,3063125.42,232.46
798,293712 10 5,ENTERPRISE FINL SVCS CORP COM,110.66,3408,EUR,377129.27999999997,121.7
799,293792 10 7,ENTERPRISE PRODS PARTNERS L COM,131.41,7210,USD,947466.1,131.41
800,29384C 10 8,ENTRADA THERAPEUTICS INC COM,126.5,8264,USD,1045396.0,126.5
801,29385B 10 9,ENTHUSIAST GAMING HLDGS INC COM,254.71,13037,USD,3320654.27,254.71
802,29402E 10 2,ENVELA CORP COM,37.17,4202,EUR,156188.34,40.88
803,29404K 10 6,ENVESTNET COM,94.07,1388,EUR,130569.15999999999,103.45
804,294100 10 2,ENZO BIOCHEM INC COM,46.21,3230,USD,149258.3,46.21
805,29414B 10 4,EPAM SYS INC COM,318.99,8694,EUR,2773299.06,350.8
806,29415B 10 3,ENVIVA INC COM,248.61,13378,EUR,3325904.58,273.4
807,29415F 10 4,ENVISTA HOLDINGS CORPORATION COM,323.87,679,EUR,219907.73,356.17
808,29415J 10 6,ENVVENO MEDICAL CORPORATION COM,314.41,13190,EUR,4147067.9000000004,345.77
809,294268 10 7,EPLUS INC COM,318.52,9178,USD,2923376.56,318.52
810,294375 20 9,EPSILON ENERGY LTD COM,306.92,10440,EUR,3204244.8000000003,337.53
811,294429 10 5,EQUIFAX INC COM,36.23,4744,USD,171875.12,36.23
812,29444U 70 0,EQUINIX INC COM,100.13,13833,EUR,1385098.29,110.12
813,29446K 10 6,EQUILLIUM INC COM,29.15,14718,EUR,429029.69999999995,32.06
814,29446Y 50 2,EQUINOX GOLD CORP COM,26.62,11870,USD,315979.4,26.62
815,29452E 10 1,EQUITABLE HLDGS INC COM,191.02,5846,USD,1116702.9200000002,191.02
816,294600 10 1,EQUITRANS MIDSTREAM CORP COM,106.73,6764,USD,721921.72,106.73
817,29472R 10 8,EQUITY LIFESTYLE PPTYS INC COM,185.76,12496,EUR,2321256.96,204.29
818,29479A 10 8,ERASCA INC COM,126.91,4302,EUR,545966.82,139.57
819,296006 10 9,ERO COPPER CORP COM,116.66,670,USD,78162.2,116.66
820,29605J 10 6,ESAB CORPORATION COM,78.89,5210,USD,411016.9,78.89
821,296056 10 4,ESCALADE INC COM,284.56,2067,EUR,588185.52,312.94
822,296315 10 4,ESCO TECHNOLOGIES INC COM,57.83,11753,EUR,679675.99,63.6
823,29664W 10 5,ESPERION THERAPEUTICS COM,118.79,2898,USD,344253.42000000004,118.79
824,29977X 10 5,EVERCOMMERCE INC COM,80.01,12260,USD,980922.6000000001,80.01
825,29978A 10 4,EVERBRIDGE INC COM,337.18,14764,EUR,4978125.5200000005,370.81
826,30034T 10 3,EVERI HLDGS INC COM,2.35,11626,EUR,27321.100000000002,2.58
827,30034W 10 6,EVERGY INC COM,69.07,8253,USD,570034.71,69.07
828,30040P 10 3,EVERTEC INC COM,192.71,11115,EUR,2141971.65,211.93
829,30040W 10 8,EVERSOURCE ENERGY COM,159.78,8203,EUR,1310675.34,175.71
830,30041T 10 4,EVERSPIN TECHNOLOGIES COM,184.53,13804,USD,2547252.12,184.53
831,30049A 10 7,EVOLUTION PETE CORP COM,242.41,955,USD,231501.55,242.41
832,30052C 10 7,EVOLUS INC COM,303.83,5084,USD,1544671.72,303.83
833,30057T 10 5,EVOQUA WATER TECHNOLOGIES CO COM,280.73,14341,USD,4025948.93,280.73
834,30063P 10 5,EXACT SCIENCES CORP COM,139.72,7191,EUR,1004726.52,153.65
835,30068X 10 3,EXAGEN INC COM,246.39,1467,EUR,361454.13,270.96
836,30218B 10 0,EXPION360 INC COM,40.16,5034,USD,202165.43999999997,40.16
837,30219E 10 3,EXPRESS INC COM,240.86,13674,EUR,3293519.64,264.88
838,30225T 10 2,EXTRA SPACE STORAGE COM,209.44,8078,USD,1691856.32,209.44
839,30226D 10 6,EXTREME NETWORKS COM,166.31,268,USD,44571.08,166.31
840,30231G 10 2,EXXON MOBIL CORP COM,81.38,12956,EUR,1054359.28,89.5
841,30234E 10 4,EYENOVIA COM,278.32,7224,EUR,2010583.68,306.08
842,302462 10 6,FG GROUP COM,107.54,3853,USD,414351.62,107.54
843,303075 10 5,FACTSET RESH SYS INC COM,82.8,1034,USD,85615.2,82.8
844,30315R 10 7,F-STAR THERAPEUTICS INC COM,177.43,14613,EUR,2592784.5900000003,195.12
845,30320C 10 3,FTC SOLAR INC COM,248.14,611,USD,151613.53999999998,248.14
846,30322L 10 1,F45 TRAINING HLDGS INC COM,215.14,7744,EUR,1666044.16,236.6
847,303250 10 4,FAIR ISAAC CORP COM,62.78,8492,USD,533127.76,62.78
848,30329Y 10 6,FG FINANCIAL GROUP INC COM,211.04,7555,USD,1594407.2,211.04
849,307359 10 9,FARADAY FUTRE INTLGT COM,328.25,9337,USD,3064870.25,328.25
850,307675 10 8,FARMER BROS CO COM,327.91,13028,USD,4272011.48,327.91
851,30779N 10 5,FARMERS & MERCHANTS BANCORP COM,241.3,13564,USD,3272993.2,241.3
852,309627 10 7,FARMERS NATIONAL BANC CORP COM,280.49,8565,EUR,2402396.85,308.46
853,31154R 10 9,FARMLAND PARTNERS INC COM,150.59,13193,EUR,1986733.87,165.61
854,311642 10 2,FARO TECHNOLOGIES INC COM,344.54,6459,USD,2225383.8600000003,344.54
855,31189P 10 2,FATE THERAPEUTICS INC COM,274.55,13068,EUR,3587819.4000000004,301.93
856,31189V 10 9,FATHOM HOLDINGS INC COM,275.23,10193,EUR,2805419.39,302.68
857,311900 10 4,FASTENAL CO COM,162.45,9425,EUR,1531091.25,178.65
858,313855 10 8,FEDERAL SIGNAL CORP COM,344.57,7753,EUR,2671451.21,378.93
859,31423P 10 8,FEDERATED HERMES COM,287.22,5621,EUR,1614463.62,315.86
860,31428X 10 6,FEDEX CORP COM,90.31,2650,USD,239321.5,90.31
861,31447E 10 5,FEMASYS INC COM,139.08,11177,USD,1554497.1600000001,139.08
862,315616 10 2,F5 INC COM,122.2,13863,EUR,1694058.6,134.39
863,31572Q 80 8,FIBROGEN COM,221.42,1483,USD,328365.86,221.42
864,31609R 10 0,FIDELITY COM,37.29,1362,EUR,50788.979999999996,41.01
865,31620M 10 6,FIDELITY NATL INFORMATION SV COM,244.61,10003,EUR,2446833.83,269.0
866,316500 10 7,FIDUS INVT CORP COM,324.54,4377,USD,1420511.58,324.54
867,31660B 10 1,FIESTA RESTAURANT GROUP INC COM,152.97,11748,USD,1797091.56,152.97
868,316773 10 0,FIFTH THIRD BANCORP COM,152.09,748,EUR,113763.32,167.26
869,317585 40 4,FINANCIAL INSTNS INC COM,224.06,14094,USD,3157901.64,224.06
870,31773D 10 1,FINCH THERAPEUTICS GROUP INC COM,326.32,1788,EUR,583460.16,358.86
871,31788K 10 8,FINGERMOTION INC COM,70.06,10339,USD,724350.34,70.06
872,31812F 10 9,FINWARD BANCORP COM,203.39,8984,USD,1827255.7599999998,203.39
873,31813A 10 9,FINWISE BANCORP COM,134.71,14866,EUR,2002598.86,148.14
874,31846B 10 8,FIRST ADVANTAGE CORP NEW COM,317.83,3617,EUR,1149591.1099999999,349.53
875,31847R 10 2,FIRST AMERN FINL CORP COM,321.08,2481,EUR,796599.48,353.1
876,31866P 10 2,FIRST BANCORP INC ME COM,231.81,2794,USD,647677.14,231.81
877,318910 10 6,FIRST BANCORP N C COM,335.23,8105,EUR,2717039.1500000004,368.66
878,318916 10 3,FIRST BANCSHARES INC MS COM,119.64,5333,USD,638040.12,119.64
879,31931U 10 2,FIRST COM,269.09,416,USD,111941.43999999999,269.09
880,319390 10 0,FIRST COM,330.58,1587,EUR,524630.46,363.55
881,31942S 10 4,FIRST COM,163.31,9538,EUR,1557650.78,179.6
882,319829 10 7,FIRST COM,335.06,6220,EUR,2084073.2,368.48
883,31983A 10 3,FIRST COM,53.38,9754,USD,520668.52,53.38
884,319835 10 4,FIRST COM,226.54,670,EUR,151781.8,249.13
885,32020R 10 9,FIRST COM,72.36,7020,USD,507967.2,72.36
886,320209 10 9,FIRST COM,315.89,8657,USD,2734659.73,315.89
887,320218 10 0,FIRST COM,233.03,7027,EUR,1637501.81,256.27
888,32022K 10 2,FIRST COM,109.1,5622,USD,613360.2,109.1
889,32026V 10 4,FIRST COM,36.19,10218,USD,369789.42,36.19
890,32043P 10 6,FIRST GTY BANCSHARES INC COM,151.86,12316,EUR,1870307.7600000002,167.0
891,32051X 10 8,FIRST HAWAIIAN INC COM,100.48,419,USD,42101.12,100.48
892,320517 10 5,FIRST HORIZON CORPORATION COM,305.33,6858,USD,2093953.14,305.33
893,32054K 10 3,FIRST INDL RLTY TR INC COM,180.69,9529,USD,1721795.01,180.69
894,320551 10 4,1STDIBS COM INC COM,101.63,1922,USD,195332.86,101.63
895,320557 10 1,FIRST INTERNET BANCORP COM,104.75,10450,USD,1094637.5,104.75
896,320734 10 6,FIRST COM,77.96,948,EUR,73906.07999999999,85.73
897,32076V 10 3,FIRST COM,246.27,11206,EUR,2759701.62,270.83
898,320817 10 9,FIRST COM,99.51,4739,EUR,471577.89,109.43
899,320866 10 6,FIRST COM,9.38,3616,USD,33918.08,9.38
900,32106V 10 7,FIRST COM,310.82,4081,USD,1268456.42,310.82
901,335834 10 7,FIRST COM,14.09,4317,USD,60826.53,14.09
902,33616C 10 0,FIRST COM,21.41,5220,USD,111760.2,21.41
903,33631F 10 4,FIRST SEACOAST BANCORP INC COM,96.24,12772,USD,1229177.28,96.24
904,33631P 10 2,FIRST SEACOAST BANCORP COM,217.94,14116,EUR,3076441.04,239.67
905,336433 10 7,FIRST SOLAR INC COM,16.45,1610,EUR,26484.5,18.09
906,336901 10 3,1ST SOURCE CORP COM,229.71,8071,EUR,1853989.4100000001,252.62
907,33718W 10 3,FIRST TR INTER DURATN PFD & COM,0.1,12215,EUR,1221.5,0.11
908,337318 10 9,FIRST COM,281.39,3194,EUR,898759.6599999999,309.45
909,33733G 10 9,FIRST COM,11.91,14709,USD,175184.19,11.91
910,33733H 10 7,FIRST COM,270.67,8182,USD,2214621.94,270.67
911,33733U 10 8,FIRST COM,10.33,6176,USD,63798.08,10.33
912,33734E 10 3,FIRST COM,187.59,4339,USD,813953.01,187.59
913,33734G 10 8,FIRST COM,337.07,14378,EUR,4846392.46,370.69
